PSM,NearestRoad,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,TotalUnits,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
76471,Phahon Yothin Road,0.41,1.1,3.2,0.2,0.1,Anusawari,Bang Khen,150,10,1,1,1,0,1,1,0,0
68025,Phahon Yothin Road,0.6,1.7,9.7,1.6,0.5,Chan Kasem,Chatuchak,322,10,1,1,1,0,0,1,0,0
99722,Phahon Yothin Road,3.83,4.43,16.15,4.29,2.63,Sam Sen Nai,Phaya Thai,123,8,1,1,1,0,0,0,0,0
82888,Phahon Yothin Road,0.2,1.1,16.6,1.3,1.1,Phaya Thai,Phaya Thai,250,18,0,1,0,0,0,1,0,0
69287.5,Phahonyothin Road,0.49,0.5,2.9,0.8,0.9,Khlong Thanon,Sai Mai,275,6,0,1,1,1,1,1,0,0
78162.33,Phahonyothin Road,0.3,1.3,3.8,0.6,0.8,Anusawari,Bang Khen,231,6,0,1,1,1,0,0,0,0
149758.4,Phahonyothin Road,1.94,2.94,11.05,2.56,2.04,Chan Kasem,Chatuchak,474,4,0,1,1,1,1,1,1,0
91576.9,Phahonyothin Road,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,1012,11,1,1,1,1,1,1,0,0
42647,Phahonyothin Road,1.96,2.56,12.6,2.23,3.1,Chom Phon,Chatuchak,366,29,0,1,0,0,0,1,0,0
55138,Phahonyothin Road,1.94,2.94,11.05,2.56,2.04,Chan Kasem,Chatuchak,192,12,1,1,1,0,1,1,0,0
82603,Phahonyothin Road,3.06,2.66,9.77,2.92,1.55,Lat Yao,Chatuchak,308,16,1,1,1,0,1,1,0,0
68538,Phahonyothin Road,1.96,2.56,12.6,2.23,3.1,Chom Phon,Chatuchak,389,10,1,1,1,0,1,1,0,0
171065,Phahonyothin Road,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,272,10,1,1,1,0,1,1,0,0
97003,Phahonyothin Road,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,101,17,0,1,0,0,0,1,0,0
108176,Phahonyothin Road,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,79,15,0,1,1,0,1,1,0,0
83799,Phahonyothin Road,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,300,8,0,0,1,0,1,0,0,0
19669,Phahonyothin Road,2.16,3.75,4.4,1.71,3.63,Sai Mai,Sai Mai,281,32,0,1,0,0,0,1,0,0
158730,Phahonyothin Road,2.34,2.94,15.95,2.4,2.16,Sam Sen Nai,Phaya Thai,64,12,0,1,1,0,1,1,0,0
180113.5,Phalasinthon Road,0.5,2.4,20.37,0.8,1.6,Khlong Toei,Khlong Toei,78,19,0,1,0,0,1,1,0,0
92445.67,Phalasinthon Road,0.7,1.5,15.5,0.6,0.7,Sam Sen Nai,Phaya Thai,1093,18,1,1,0,0,1,1,0,0
78889,Phalasinthon Road,0.52,4,19.79,0.68,1.61,Khlong Toei Nuea,Watthana,60,32,1,1,1,0,1,1,0,0
168787.73,Phatthana Chonabot 3 Road,0.3,1,19.9,0.3,0.7,Thanon Phetchaburi,Ratchathewi,623,7,1,1,1,1,0,1,0,0
27575,Phatthanakan Road,3.72,3.79,7.63,2.88,1.36,Prawet,Prawet,281,31,0,1,1,0,1,1,0,0
50611,Phatthanakan Road,0.2,1.7,12.7,0.9,1.2,Suan Luang,Suan Luang,296,13,1,1,1,0,1,1,0,0
100545.5,Phatthanakan Road,0.3,1.4,12.9,0.6,1.3,Suan Luang,Suan Luang,1084,6,1,1,1,0,0,0,1,0
66364.5,Phatthanakan Road,1,1.5,12.7,0.7,1.6,Suan Luang,Suan Luang,1024,5,0,1,0,0,0,1,0,0
40244,Phatthanakan Road,0.6,1.3,12.9,0.8,2,Suan Luang,Suan Luang,350,32,0,1,1,0,1,1,0,0
45780.2,Phatthanakan Road,0.6,1.9,12.8,1.2,0.9,Suan Luang,Suan Luang,1152,15,1,1,1,0,1,1,0,0
227627.5,Phaya Thai Road,1.31,2.96,19.43,1.51,0.74,Thanon Phetchaburi,Ratchathewi,880,1,0,1,0,0,0,0,0,0
174769.38,Phaya Thai Road,1.73,3.32,19.13,1.96,0.76,Thanon Phaya Thai,Ratchathewi,476,14,0,1,1,1,0,0,1,0
361412.86,Phaya Thai Road,1.88,3.3,18.63,0.29,0.54,Thung Phaya Thai,Ratchathewi,264,2,0,1,1,0,1,1,0,0
124035.67,Phaya Thai Road,2.19,3.87,19.53,2.28,1.46,Thanon Phetchaburi,Ratchathewi,575,11,0,1,1,1,0,1,1,0
303176,Phaya Thai Road,1.87,3.53,19.46,1.99,1.14,Thanon Phetchaburi,Ratchathewi,209,3,0,1,1,1,1,1,0,0
145833,Phaya Thai Road,1.81,3.47,19.46,1.94,1.09,Thung Phaya Thai,Ratchathewi,115,8,0,1,1,1,0,0,0,0
121862,Phaya Thai Road,1.32,2.96,19.41,1.52,0.72,Thanon Phetchaburi,Ratchathewi,238,17,0,1,0,0,1,1,0,0
105909,Phaya Thai Road,1.72,3.29,19.06,1.96,0.69,Thanon Phetchaburi,Ratchathewi,635,30,0,0,1,0,1,1,0,0
129678.75,Phaya Thai Road,1.35,3.02,19.56,1.5,0.89,Thanon Phetchaburi,Ratchathewi,156,15,0,1,1,0,1,1,0,0
165956,Phaya Thai Road,1.39,3.02,19.36,1.59,0.71,Thanon Phaya Thai,Ratchathewi,323,9,1,1,1,0,0,1,0,0
242713.5,Phaya Thai Road,1.38,3.03,19.45,1.55,0.8,Thanon Phetchaburi,Ratchathewi,231,7,1,1,1,1,0,0,0,0
98333.33,Phaya Thai Road,1.81,3.51,19.77,1.86,1.34,Thanon Phetchaburi,Ratchathewi,284,16,0,1,0,0,1,1,0,0
145878,Phaya Thai Road,1.58,3.2,19.27,1.79,0.76,Thanon Phaya Thai,Ratchathewi,744,16,1,1,1,0,1,1,0,0
129795,Phaya Thai Road,1.42,3.08,19.49,1.58,0.85,Thanon Phetchaburi,Ratchathewi,580,17,1,1,1,0,1,1,0,0
82968,Phaya Thai Road,1.67,3.27,19.21,1.88,0.77,Thung Phaya Thai,Ratchathewi,194,28,0,0,0,0,0,0,0,0
95571.67,Phaya Thai Road,1.48,3.05,19.15,1.73,0.55,Thanon Phaya Thai,Ratchathewi,690,11,0,1,0,0,1,1,0,0
180110.17,Phaya Thai Road,1.28,2.9,19.36,1.5,0.65,Thanon Phaya Thai,Ratchathewi,550,10,0,1,1,1,0,1,0,0
248294.67,Phaya Thai Road,1.56,3.24,19.58,1.68,1.03,Thanon Phetchaburi,Ratchathewi,298,12,1,1,1,0,1,1,0,0
159483,Phaya Thai Road,1.67,3.37,19.77,1.73,1.25,Thanon Phetchaburi,Ratchathewi,179,6,1,1,1,0,0,0,0,0
132203,Phaya Thai Road,1.67,3.32,19.45,1.81,0.98,Thanon Phetchaburi,Ratchathewi,306,11,0,1,1,0,0,1,0,0
112123,Phaya Thai Road,0.2,0.4,22.6,0.3,1.1,Wang Mai,Pathum Wan,537,18,0,0,1,1,1,1,0,0
78549,Phet Kasem Road,0.4,1.1,24.73,1.7,1.5,Wat Tha Phra,Bangkok Yai,814,8,0,1,1,1,0,1,1,0
95372.67,Phetchaburi Road,2.59,1.34,18.7,2,3.07,Bang Kapi,Huai Khwang,382,15,1,1,1,0,0,1,0,0
134186.67,Phetchaburi Road,2.44,1.22,18.77,1.98,2.95,Bang Kapi,Huai Khwang,645,11,1,1,1,0,1,1,1,0
100261,Phetchaburi Road,2.73,1.48,18.62,2.04,3.19,Bang Kapi,Huai Khwang,295,12,1,1,1,0,1,1,0,0
121213,Phetchaburi Road,3.29,2.4,18.41,2.39,2.2,Bang Kapi,Huai Khwang,66,6,1,1,0,0,0,1,0,0
156128.35,Phetchaburi Road,2.45,1.43,18.5,2.28,2.81,Bang Kapi,Huai Khwang,1642,6,1,1,1,0,1,1,0,0
202177.5,Phetchaburi Road,2.52,1.31,18.7,2.03,2.99,Bang Kapi,Huai Khwang,508,6,1,1,1,1,0,0,1,0
104727.5,Phetchaburi Road,3.29,2.4,18.41,2.39,2.2,Bang Kapi,Huai Khwang,77,18,0,1,0,0,0,1,0,0
132665.75,Phetchaburi Road,0.5,0.8,19.6,1.1,1.5,Khlong Toei Nuea,Watthana,145,10,1,1,1,1,1,1,0,0
168464.8,Phetchaburi Road,1.5,1.21,18.83,2.61,1.88,Makkasan,Ratchathewi,636,6,1,1,1,0,1,1,0,0
209006.5,Phetchaburi Road,1.55,1.2,18.81,2.59,1.92,Makkasan,Ratchathewi,477,10,1,1,0,1,0,0,0,0
126629.4,Phetchaburi Road,2.07,1.09,18.8,2.16,2.55,Makkasan,Ratchathewi,525,12,1,1,1,0,0,0,0,0
146850,Phetchaburi Road,2.15,1.23,18.66,2.27,2.55,Makkasan,Ratchathewi,574,12,1,1,1,0,1,1,0,0
99652.89,Phetchaburi Road,1.51,1.16,18.86,2.56,1.92,Makkasan,Ratchathewi,917,12,0,1,1,0,0,1,1,0
188330,Phetchaburi Road,2.19,1.12,18.78,2.1,2.68,Makkasan,Ratchathewi,482,9,1,1,1,1,1,1,0,0
101500,Phetchaburi Road,1.46,3.04,19.52,1.8,0.95,Thanon Phetchaburi,Ratchathewi,610,26,0,1,1,0,1,1,0,0
89015,Phetchaburi Road,1.67,3.1,18.8,1.85,0.51,Thanon Phaya Thai,Ratchathewi,304,30,0,1,0,0,0,1,0,0
324888.75,Phetchaburi Road,0.1,0.3,19.4,0.9,1,Bang Kapi,Huai Khwang,319,4,1,1,1,1,0,0,0,0
95679,Phetchaburi Road,0.7,0.9,19.7,1,1.7,Khlong Toei Nuea,Watthana,170,18,0,1,0,0,0,1,0,0
90325.5,Phetchaburi Road,0.7,1,19.7,1.1,1.8,Khlong Toei Nuea,Watthana,136,26,1,1,1,0,1,1,0,0
123174.6,Phetchaburi Road,0.6,0.9,19.6,1.1,1.7,Khlong Toei Nuea,Watthana,84,27,1,1,1,0,0,1,0,0
280444.86,Phloen Chit Road,0.43,1.69,19.46,3.21,1.14,Lumphini,Pathum Wan,219,14,1,1,1,0,1,1,0,0
279863,Phloen Chit Road,0.3,1.26,19.72,0.7,0.7,Lumphini,Pathum Wan,110,9,1,1,1,0,0,1,0,0
384350.5,Phloen Chit Road,0.3,1,19.72,0.7,0.8,Lumphini,Pathum Wan,80,1,0,1,1,0,0,1,0,0
194712.82,Phloen Chit Road,0.6,1.5,19.8,0.7,1.2,Lumphini,Pathum Wan,1344,4,0,1,1,1,0,0,0,0
266799.31,Phloen Chit Road,0.1,1.4,19.72,0.9,1.1,Lumphini,Pathum Wan,1444,7,1,1,1,0,0,0,0,0
175490,Phloen Chit Road,0.3,1.5,19.72,0.9,1.3,Lumphini,Pathum Wan,90,5,1,1,1,0,1,1,0,0
355102.21,Phloen Chit Road,0.3,1,19.72,0.3,0.7,Lumphini,Pathum Wan,425,5,0,0,1,0,1,1,0,0
283582,Phloen Chit Road,0.3,0.9,19.72,0.7,0.7,Lumphini,Pathum Wan,97,6,0,1,1,1,0,1,0,0
127240,Phloen Chit Road,0.5,1.8,19.72,0.4,1.6,Lumphini,Pathum Wan,31,37,0,1,1,0,0,0,0,0
287112.11,Phloen Chit Road,0.2,1.4,19.72,1.1,1.2,Lumphini,Pathum Wan,219,16,0,1,1,0,1,1,0,0
822569,Phloen Chit Road,0.3,1.2,19.72,0.9,0.9,Lumphini,Pathum Wan,77,8,0,1,1,0,1,1,0,0
625270.58,Phloen Chit Road,0.2,0.9,19.72,0.7,0.7,Lumphini,Pathum Wan,158,1,0,1,1,0,0,0,0,0
250000,Phloen Chit Road,0.3,0.8,19.72,0.8,0.6,Lumphini,Pathum Wan,95,27,0,1,0,0,0,1,0,0
275508,Phloen Chit Road,0.2,2.1,19.72,0.3,0.8,Lumphini,Pathum Wan,48,31,0,1,0,0,0,1,0,0
164436.13,Phloen Chit Road,0.5,1.2,19.9,0.5,1,Lumphini,Pathum Wan,597,15,1,1,1,0,1,1,0,0
210310.88,Phloen Chit Road,0.3,0.5,19.72,0.5,0.2,Lumphini,Pathum Wan,316,9,0,1,1,0,0,1,0,0
132273.25,Phloen Chit Road,0.58,1.93,19.33,1.04,0.88,Makkasan,Ratchathewi,190,11,0,1,0,0,1,1,0,0
188571.33,Phloen Chit Road,0.56,1.89,19.33,3.41,0.92,Makkasan,Ratchathewi,352,6,1,1,1,0,1,1,0,0
74238,Phloen Chit Road,0.84,1.41,19.18,2.93,1.36,Makkasan,Ratchathewi,378,28,0,1,0,0,1,1,0,0
76923,Phloen Chit Road,0.5,1.4,19.8,1.1,1.5,Khlong Tan Nuea,Watthana,49,27,0,1,0,0,0,1,0,0
31864,Phran Nok Road,4.62,3.48,22.93,2.79,1.16,Bang Khun Non,Bangkok Noi,319,20,0,1,0,0,0,1,0,0
89231,Phran Nok Road,4.41,3.38,23.02,2.91,1.01,Ban Chang Lo,Bangkok Noi,726,2,0,1,1,0,0,0,0,0
70213,Phran Nok Road,4.51,3.79,23.22,3.07,1.44,Bang Khun Si,Bangkok Noi,366,5,1,1,1,0,0,0,0,0
99903,Phran Nok Road,0.17,3.23,22.13,1.97,1.37,Bang Khun Si,Bangkok Noi,1196,9,1,0,1,1,0,0,0,0
85736,Phran Nok Road,3.07,4.2,24.32,2.64,1.94,Wat Tha Phra,Bangkok Yai,184,4,0,1,1,1,1,1,0,0
55300,Phran Nok Road,3.78,2.1,26.46,3.1,2.1,Bang Waek,Phasi Charoen,586,11,0,1,1,0,1,1,0,0
67995,Pracha Uthit Road,3.8,0.4,29.12,2.63,2.6,Bang Mot,Thung Khru,363,10,1,1,1,0,1,1,0,0
57883.6,Prachachuen Road,2.98,1.97,10.19,4.98,3.66,Wong Sawang,Bang Sue,1395,12,0,1,1,1,1,1,1,0
33709.5,Prachachuen Road,3.14,1.51,9.72,4.53,3.68,Chatuchak,Chatuchak,1031,15,0,1,0,0,0,1,0,0
28732,Prachachuen Road,3.06,2.66,9.77,2.92,1.55,Lat Yao,Chatuchak,800,25,0,1,0,0,1,1,0,0
96118.6,Pracharat Sai 1 Road,0.6,1,14.7,1.7,0.6,Bang Sue,Bang Sue,615,5,1,1,1,1,0,0,0,0
71154.5,Pracharat Sai 1 Road,1.36,1.34,14.06,2.13,2.08,Bang Sue,Bang Sue,709,11,1,1,1,0,1,1,0,0
103269,Pracharat Sai 1 Road,3.17,3.55,16.33,3.93,3.08,Huai Khwang,Huai Khwang,159,6,1,1,1,0,0,0,0,0
66667,Pracharat Sai 2 Road,1.36,1.34,14.06,2.13,2.08,Bang Sue,Bang Sue,720,10,1,1,1,0,1,1,0,0
126377.67,Pracharat Sai 2 Road,1.36,1.34,14.06,2.13,2.08,Bang Sue,Bang Sue,742,4,1,1,1,1,0,0,0,0
148125.5,Prachathipok Road,0.1,0.3,22.93,0.7,0.5,Silom,Bang Rak,69,10,0,0,0,0,0,0,0,0
34750,Prachathipok Road,0.1,0.2,23.51,0.8,0.6,Thung Wat Don,Sathon,150,12,0,1,0,1,1,1,0,0
45930,Prachathipok Road,0.2,1.5,12.8,0.7,1.3,Suan Luang,Suan Luang,640,32,0,1,0,0,0,1,0,0
45652,Pradit Manutham Road,0.89,1.6,14.7,1.8,1.3,Khlong Chan,Bang Kapi,712,10,0,1,0,0,1,1,0,0
63755.25,Pradit Manutham Road,0.3,4.5,9,0.9,4.1,Tha Raeng,Bang Khen,1168,9,1,1,0,0,1,1,0,0
52243.7,Pradit Manutham Road,1.8,1.5,14.8,1.8,1.2,Khlong Chaokhun Sing,Wang Thonglang,899,14,1,1,1,0,0,0,0,0
89606,Pradit Manutham Road,2.3,2.9,13.5,0.8,2.3,Khlong Chaokhun Sing,Wang Thonglang,56,8,0,1,1,0,1,1,0,0
90023,Prasert Manukit Road,2.6,1.63,9.65,2,1.62,Nuanchan,Bueng Kum,208,4,0,1,1,0,1,1,0,0
60999.67,Prasert Manukit Road,3.86,3.56,8.7,4.04,0.91,Sena Nikhom,Chatuchak,180,12,0,1,1,0,1,1,0,0
71154,Pridi Banomyong Road,0.3,3.2,16.4,0.2,2.2,Phra Khanong,Khlong Toei,136,15,0,1,1,0,1,1,0,0
129216,Pridi Banomyong Road,0.4,3.2,16.4,0.3,2.2,Bang Chak,Phra Khanong,154,3,0,1,1,1,0,1,0,0
91228,Pridi Banomyong Road,0.3,3.1,16.2,0.3,2.3,Bang Chak,Phra Khanong,93,12,0,1,1,1,1,1,0,0
98253,Pridi Banomyong Road,1.32,3.46,18.01,2.16,2.11,Khlong Tan Nuea,Watthana,70,29,0,1,0,0,0,1,0,0
116279,Pridi Banomyong Road,2.78,0.81,16.49,4.01,3.73,Phra Khanong,Khlong Toei,339,4,0,1,1,1,0,0,0,0
141236,Pridi Banomyong Road,2.76,0.76,16.53,3.99,3.72,Phra Khanong,Khlong Toei,339,5,1,1,1,1,1,1,0,0
89963.75,Pridi Banomyong Road,2.89,0.83,16.41,4.12,3.85,Phra Khanong,Khlong Toei,485,14,0,1,1,0,1,1,0,0
97629.33,Pridi Banomyong Road,0.4,3.5,16.6,0.3,1.9,Phra Khanong,Khlong Toei,154,6,1,1,1,1,1,1,0,0
57477,Pridi Banomyong Road,3.72,4.8,6.1,2.88,1.36,Prawet,Prawet,1118,9,1,1,1,0,0,1,1,0
133847.75,Pridi Banomyong Road,3.01,0.8,16.39,4.23,4,Phra Khanong,Khlong Toei,589,11,0,1,1,0,1,1,0,0
80479,Pridi Banomyong Road,2.89,0.65,16.54,4.11,3.9,Phra Khanong,Khlong Toei,199,16,0,1,1,0,1,1,0,0
77421.5,Pridi Banomyong Road,0.7,3.79,17.06,1.3,1.49,Phra Khanong Nuea,Watthana,160,17,0,1,1,0,0,0,0,0
67828.67,Pridi Banomyong Road,2.46,1.88,16.5,3.62,3.63,Phra Khanong Nuea,Watthana,72,10,0,1,1,0,1,1,0,0
133263.5,Pridi Banomyong Road,3.44,1.23,15.95,4.67,4.39,Phra Khanong Tai,Phra Khanong,487,5,0,1,1,1,0,1,0,0
117189.67,Pridi Banomyong Road,3.31,1.05,16.13,4.53,4.29,Phra Khanong Nuea,Watthana,358,12,1,1,1,0,1,1,0,0
91653,Pridi Banomyong Road,3.29,0.89,16.34,4.5,4.32,Phra Khanong Tai,Phra Khanong,138,13,0,1,1,0,1,1,0,0
133585.2,Pridi Banomyong Road,3.35,1.08,16.1,4.58,4.33,Bang Chak,Phra Khanong,940,11,1,1,1,1,1,1,1,0
111026,Pridi Banomyong Road,3.68,1.31,15.93,4.9,2.18,Bang Chak,Phra Khanong,372,3,1,1,0,0,0,1,0,0
132318.9,Pridi Banomyong Road,4.04,1.62,15.74,1.05,2.53,Bang Chak,Phra Khanong,1332,6,0,1,1,0,1,1,0,0
110536.5,Pridi Banomyong Road,3.43,1.01,16.26,4.64,4.47,Phra Khanong Tai,Phra Khanong,166,7,0,1,1,0,1,1,0,0
46562,Pridi Banomyong Road,3.93,1.85,15.34,0.94,2.52,Bang Chak,Phra Khanong,404,14,0,1,0,0,0,1,0,0
107346,Pridi Banomyong Road,3.23,0.88,16.32,4.45,4.25,Phra Khanong Tai,Phra Khanong,77,14,0,1,0,0,0,1,0,0
61702,Pridi Banomyong Road,3.36,0.95,16.29,4.57,4.39,Phra Khanong Tai,Phra Khanong,73,15,0,1,1,0,1,1,0,0
57143,Pridi Banomyong Road,3.43,1.26,15.93,4.66,4.38,Bang Chak,Phra Khanong,146,15,0,1,0,0,1,1,0,0
74305.5,Pridi Banomyong Road,3.25,0.89,16.31,4.46,4.26,Phra Khanong Tai,Phra Khanong,147,15,0,1,1,0,1,1,0,0
92805,Pridi Banomyong Road,0.9,3.8,15.5,0.3,2.5,Suan Luang,Suan Luang,442,3,1,1,1,1,0,0,0,0
78147.67,Pridi Banomyong Road,0.7,4,16,0.8,2,Suan Luang,Suan Luang,773,12,0,1,1,0,1,1,0,0
91869.57,Pridi Banomyong Road,0.8,3.9,15.9,0.7,2.1,Suan Luang,Suan Luang,673,8,0,1,0,0,1,1,1,0
59985,Pridi Banomyong Road,1,3.7,15.6,0.4,2.3,Suan Luang,Suan Luang,956,11,1,1,1,0,1,1,0,0
85616,Pridi Banomyong Road,0.67,0.4,16.4,1.3,1.9,Suan Luang,Suan Luang,795,4,0,1,1,0,0,0,0,0
91590,Pridi Banomyong Road,0.67,3.2,14.8,0.4,1.51,Suan Luang,Suan Luang,553,4,0,1,1,1,0,0,0,0
86955.33,Pridi Banomyong Road,1.6,3.5,14.7,0.5,1.51,Suan Luang,Suan Luang,396,2,0,1,1,0,1,1,0,0
49900.5,Pridi Banomyong Road,0.9,3.8,16,0.7,2,Suan Luang,Suan Luang,872,19,1,1,0,0,0,1,0,0
64285.5,Pridi Banomyong Road,0.8,3.7,15.5,0.6,2.7,Suan Luang,Suan Luang,717,6,1,1,1,0,1,1,0,0
55183.83,Pridi Banomyong Road,0.9,3.8,15.8,0.6,2.1,Suan Luang,Suan Luang,987,18,1,1,1,0,1,1,0,0
114550.92,Pridi Banomyong Road,0.8,4.1,16.4,0.9,1.6,Phra Khanong Nuea,Watthana,711,9,1,1,1,0,0,1,0,0
169847.82,Pridi Banomyong Road,0.4,4.4,17,1.3,0.9,Phra Khanong Nuea,Watthana,291,8,1,1,0,1,1,1,0,0
71768,Pridi Banomyong Road,0.9,3.8,16.8,1.5,1.2,Phra Khanong Nuea,Watthana,69,19,0,1,0,0,0,1,0,0
117002.5,Pridi Banomyong Road,0.9,3.79,16.5,1.1,1.5,Phra Khanong Nuea,Watthana,419,1,0,1,1,0,0,0,0,0
140705.5,Pridi Banomyong Road,0.2,3.7,16.3,0.3,1.9,Phra Khanong Nuea,Watthana,484,11,1,1,1,0,1,1,0,0
137445.25,Pridi Banomyong Road,0.1,3.5,16.2,0.2,2.1,Phra Khanong Nuea,Watthana,490,13,1,1,1,0,1,1,0,0
102551.71,Pridi Banomyong Road,0.6,3.79,16.1,0.7,1.9,Phra Khanong Nuea,Watthana,1232,12,0,1,1,0,0,0,1,0
103461.3,Pridi Banomyong Road,0.6,4,16.2,0.6,1.8,Phra Khanong Nuea,Watthana,467,13,1,1,1,0,1,1,0,0
162569.06,Pridi Banomyong Road,0.8,4.1,16.4,0.9,1.6,Khlong Tan Nuea,Watthana,546,4,0,1,1,0,0,0,0,0
106452.86,Pridi Banomyong Road,0.9,4,16.4,1,1.6,Phra Khanong Nuea,Watthana,504,9,0,1,1,0,1,1,0,0
85804.67,Pridi Banomyong Road,0.3,3.7,16.1,0.4,2,Khlong Tan Nuea,Watthana,343,17,1,1,1,0,1,1,0,0
73301.67,Pridi Banomyong Road,1,3.7,16.4,1.3,1.5,Phra Khanong Nuea,Watthana,672,5,1,1,1,0,0,1,0,0
172186,Pridi Banomyong Road,0.3,3.7,16.3,0.3,1.9,Phra Khanong Nuea,Watthana,600,4,0,1,1,0,0,0,0,1
65497.5,Ram Inthra Road,0.7,2.3,5.9,0.9,2.7,Anusawari,Bang Khen,73,10,0,1,1,0,1,1,0,0
56118.5,Ram Inthra Road,0.5,4.5,8.2,0.5,4.3,Tha Raeng,Bang Khen,825,12,0,1,1,0,1,1,1,0
42065.33,Ram Inthra Road,1,2.6,10.13,0.76,2.68,Nuanchan,Bueng Kum,406,11,0,1,1,0,1,1,0,0
64920,Ram Inthra Road,4.6,3.18,11.69,1.86,3.09,Ram Inthra,Khan Na Yao,1296,11,0,1,1,0,1,1,1,0
61852,Ram Inthra Road,0.8,2.97,10.38,0.61,2.9,Ram Inthra,Khan Na Yao,338,7,1,1,1,0,1,1,0,0
91485,Ram Inthra Road,0.3,3.18,11.69,1.86,3.09,Ram Inthra,Khan Na Yao,679,1,0,1,1,0,1,1,0,0
93432,Ram Inthra Road,0.3,3.53,10.67,0.69,1.68,Ram Inthra,Khan Na Yao,879,3,0,1,1,1,0,1,0,0
112963,Rama 1 Road,1.95,3.54,20.97,1.68,2.3,Pathum Wan,Pathum Wan,510,11,1,1,1,0,1,1,0,0
176491.8,Rama 1 Road,0.7,0.4,21.9,0.8,0.9,Rong Muang,Pathum Wan,194,3,0,1,1,0,1,1,0,0
154665,Rama 1 Road,0.2,0.3,22.6,0.4,1.2,Wang Mai,Pathum Wan,268,14,1,1,1,0,1,1,0,0
250000,Rama 1 Road,0.3,0.2,22.6,0.3,1.3,Wang Mai,Pathum Wan,690,9,0,1,1,1,1,1,0,0
62363.75,Rama 2 Road,8.4,2.41,33.46,0.7,0.5,Samae Dam,Bang Khun Thian,458,10,1,1,1,0,1,1,0,0
87059,Rama 3 Road,2,1.7,29,2,2.2,Bang Khlo,Bang Kho Laem,260,9,0,1,1,0,0,1,0,0
102439,Rama 3 Road,0.77,2.64,29,2.38,1.69,Bang Khlo,Bang Kho Laem,521,9,1,1,1,0,1,1,0,0
71893.5,Rama 3 Road,0.1,2.8,29,2.6,1.2,Bang Khlo,Bang Kho Laem,565,20,1,1,0,0,1,1,0,0
131904.33,Rama 3 Road,0.3,3.2,29,2.3,2,Bang Khlo,Bang Kho Laem,497,11,1,1,1,1,0,0,0,0
254497.86,Rama 3 Road,0.2,3,29,2.7,1.7,Bang Khlo,Bang Kho Laem,885,7,1,1,1,1,0,0,0,0
276134,Rama 3 Road,0.6,3.1,29,2.38,1.3,Bang Khlo,Bang Kho Laem,406,17,0,1,0,0,0,1,0,0
127702.5,Rama 3 Road,0.1,2.9,29,2.6,1.2,Bang Khlo,Bang Kho Laem,556,2,0,1,1,0,1,1,0,0
63300,Rama 3 Road,4.07,2.64,26.19,3.55,1.88,Bang Pakok,Rat Burana,1028,14,0,1,1,1,0,0,0,0
54120,Rama 3 Road,4.45,3.84,26.7,4.16,3.76,Din Daeng,Din Daeng,443,17,0,1,0,0,1,1,0,0
65534.5,Rama 3 Road,4.37,4.37,27.74,2.54,4.2,Bang Pakok,Rat Burana,892,10,0,1,1,0,0,0,1,0
59628,Rama 3 Road,4.74,1.61,25.09,2.5,4.8,Rat Burana,Rat Burana,1820,10,0,1,0,0,1,1,0,0
414053,Rama 4 Road,0.1,1.1,22.93,0.3,0.4,Silom,Bang Rak,665,1,0,1,1,0,0,0,0,0
266109,Rama 4 Road,2.65,1.96,21.59,1.91,2.63,Khlong Toei,Khlong Toei,468,2,0,1,1,0,0,0,0,0
161586.36,Rama 4 Road,3.15,1.74,20.42,0.73,2.66,Khlong Tan,Khlong Toei,269,14,1,1,1,0,0,1,0,0
120833,Rama 4 Road,3.05,1.68,20.56,0.82,2.6,Khlong Toei,Khlong Toei,316,6,1,1,1,0,1,1,0,0
259569.14,Rama 4 Road,3.02,1.81,20.77,1.15,2.69,Khlong Toei,Khlong Toei,331,5,1,1,1,1,0,0,0,0
127157,Rama 4 Road,2.92,1.63,20.74,0.96,2.52,Khlong Toei,Khlong Toei,76,13,1,1,1,0,1,1,0,0
234240.54,Rama 4 Road,3.2,1.74,20.33,0.64,2.68,Khlong Tan,Khlong Toei,940,4,0,1,1,0,1,1,0,0
47250.6,Rama 4 Road,2.16,2.88,17.78,2.39,3.17,Phra Khanong,Khlong Toei,514,26,0,1,0,0,1,1,0,0
113861.5,Rama 4 Road,2.88,1.56,20.73,0.9,2.46,Khlong Toei,Khlong Toei,70,10,1,1,1,0,1,1,0,0
97619,Rama 4 Road,2.62,1.29,20.9,0.91,3.89,Khlong Toei,Khlong Toei,140,14,0,1,1,0,1,1,0,0
227252.25,Rama 4 Road,3.29,1.78,20.18,0.52,2.72,Khlong Tan,Khlong Toei,54,19,0,1,1,0,1,1,0,0
187894.86,Rama 4 Road,0.7,2.5,19.57,0.7,1.5,Khlong Tan,Khlong Toei,292,15,1,1,1,0,1,1,0,0
